Node_A,Node_B,Total_Weight,Source_Breakdown
ROOT_ACCESS,vyavalokayati sma,1,Prajnaparamita-:1
vara gambh,vyavalokayati sma,1,Prajnaparamita-:1
panca -skandh,vyavalokayati sma,1,Prajnaparamita-:1
five constituent,vyavalokayati sma,1,Prajnaparamita-:1
praj ramit,vyavalokayati sma,1,Prajnaparamita-:1
cary caram,vyavalokayati sma,1,Prajnaparamita-:1
vyavalokayati sma,yati sma,1,Prajnaparamita-:1
beheld five,vyavalokayati sma,1,Prajnaparamita-:1
fortunate noble,vyavalokayati sma,1,Prajnaparamita-:1
deep practice,vyavalokayati sma,1,Prajnaparamita-:1
MATTER_CONCEPT,vyavalokayati sma,1,Prajnaparamita-:1
avalokite vara,vyavalokayati sma,1,Prajnaparamita-:1
-to-be avalokite,vyavalokayati sma,1,Prajnaparamita-:1
dwelling deep,vyavalokayati sma,1,Prajnaparamita-:1
-skandh beheld,vyavalokayati sma,1,Prajnaparamita-:1
-avalokite varo,vyavalokayati sma,1,Prajnaparamita-:1
caram dwelling,vyavalokayati sma,1,Prajnaparamita-:1
rya -avalokite,vyavalokayati sma,1,Prajnaparamita-:1
gambh praj,vyavalokayati sma,1,Prajnaparamita-:1
sma panca,vyavalokayati sma,1,Prajnaparamita-:1
dhisattvo noble,vyavalokayati sma,1,Prajnaparamita-:1
constituent groups,varo dhisattvo,1,Prajnaparamita-:1
ROOT_ACCESS,constituent groups,1,Prajnaparamita-:1
constituent groups,vara gambh,1,Prajnaparamita-:1
constituent groups,panca -skandh,1,Prajnaparamita-:1
constituent groups,five constituent,1,Prajnaparamita-:1
constituent groups,praj ramit,1,Prajnaparamita-:1
cary caram,constituent groups,1,Prajnaparamita-:1
constituent groups,yati sma,1,Prajnaparamita-:1
beheld five,constituent groups,1,Prajnaparamita-:1
constituent groups,fortunate noble,1,Prajnaparamita-:1
constituent groups,deep practice,1,Prajnaparamita-:1
MATTER_CONCEPT,constituent groups,1,Prajnaparamita-:1
avalokite vara,constituent groups,1,Prajnaparamita-:1
-to-be avalokite,constituent groups,1,Prajnaparamita-:1
constituent groups,dwelling deep,1,Prajnaparamita-:1
-skandh beheld,constituent groups,1,Prajnaparamita-:1
-avalokite varo,constituent groups,1,Prajnaparamita-:1
caram dwelling,constituent groups,1,Prajnaparamita-:1
constituent groups,rya -avalokite,1,Prajnaparamita-:1
constituent groups,gambh praj,1,Prajnaparamita-:1
constituent groups,sma panca,1,Prajnaparamita-:1
